<DATE>;<TIME>;<CLOSE>;<SMA10>;<SMA20>;<SMA30>
20170120;130000;54.7800000;54.386999999999986;54.3495;54.474666666666664
20170120;140000;54.8000000;54.41299999999999;54.37600000000001;54.446666666666665
20170120;150000;54.7300000;54.427;54.408;54.43699999999999
20170120;160000;54.9300000;54.496;54.446000000000005;54.44233333333332
20170120;170000;55.3100000;54.617000000000004;54.488;54.457333333333324
20170120;180000;55.4100000;54.72700000000001;54.538;54.484
20170120;190000;55.7300000;54.885000000000005;54.61750000000001;54.533
20170120;200000;55.4800000;55.010000000000005;54.67649999999999;54.56866666666667
20170120;210000;55.5000000;55.114;54.73349999999999;54.605999999999995
20170120;220000;55.4900000;55.21600000000001;54.78249999999999;54.621
20170120;230000;55.4900000;55.287;54.83699999999999;54.662000000000006
20170121;000000;55.4600000;55.35300000000001;54.882999999999996;54.70166666666668
20170123;110000;55.5100000;55.431000000000004;54.928999999999995;54.74900000000001
20170123;120000;55.3300000;55.47099999999999;54.98350000000001;54.787666666666674
20170123;130000;55.1900000;55.45899999999999;55.03800000000001;54.811666666666675
20170123;140000;54.8400000;55.402;55.06450000000001;54.826
20170123;150000;55.0700000;55.336;55.1105;54.857
20170123;160000;54.9500000;55.283;55.14650000000002;54.87866666666665
20170123;170000;54.8100000;55.213999999999984;55.16400000000001;54.893666666666654
20170123;180000;54.9900000;55.164;55.19000000000001;54.90966666666666
20170123;190000;54.9800000;55.113;55.20000000000001;54.92899999999999
20170123;200000;55.1700000;55.084;55.21850000000002;54.949999999999996
20170123;210000;55.2300000;55.056000000000004;55.24350000000002;54.97133333333333
20170123;220000;55.4900000;55.072;55.27149999999999;55.013000000000005
20170123;230000;55.3100000;55.08400000000002;55.27149999999999;55.053333333333335
20170124;000000;55.3700000;55.137;55.26950000000001;55.08866666666667
20170124;110000;55.5500000;55.185;55.2605;55.13533333333333
20170124;120000;55.5700000;55.247;55.26500000000001;55.18
20170124;130000;55.7200000;55.338;55.275999999999996;55.222
20170124;140000;55.4900000;55.388;55.275999999999996;55.256
20170124;150000;55.2300000;55.413;55.263;55.271
20170124;160000;55.3800000;55.434000000000005;55.259000000000015;55.29033333333334
20170124;170000;55.6400000;55.475;55.26550000000002;55.320666666666675
20170124;180000;55.6900000;55.495000000000005;55.283500000000004;55.346
20170124;190000;55.5800000;55.522000000000006;55.30300000000001;55.355
20170124;200000;55.7300000;55.55799999999999;55.347500000000004;55.36566666666668
